Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\NU40-DK-Basic\Project Outputs for NU40-DK-Basic\Pick Place\Pick Place for NU40-DK-Basic(Default).csv

========================================================================================================================
File Design Information:

Date:       02-04-26
Time:       11:13
Revision:   38c75b1c16730a464f5a390cd5fe2511a76da44a
Variant:    Default
Units used: mm

"Designator","Comment","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U5","NC7WZ14P6X","TopLayer","44.7250","16.1770","180","Inverter Schmitt Trigger 2-Element CMOS 6-Pin SC-70 T/R / IC INVERTER DUAL SCHMITT SC70-6"
"U4","NC7WZ14P6X","TopLayer","44.7250","13.8270","180","Inverter Schmitt Trigger 2-Element CMOS 6-Pin SC-70 T/R / IC INVERTER DUAL SCHMITT SC70-6"
"Y1","DF2032K76812001","TopLayer","60.4250","15.8500","90","Crystal 32.768kHz ��20ppm 12.5pF 70k�� SMD3215-2P"
"C17","Ceramic/1608","TopLayer","8.7500","6.7750","90","Generic 1608 Ceramic Capacitor"
"C16","Ceramic/1608","TopLayer","2.4250","4.0750","90","Generic 1608 Ceramic Capacitor"
"C15","Ceramic/1608","TopLayer","1.0750","4.0750","90","Generic 1608 Ceramic Capacitor"
"C14","Ceramic/1608","TopLayer","19.3000","10.7750","180","Generic 1608 Ceramic Capacitor"
"C13","Ceramic/1608","TopLayer","18.6750","8.7750","90","Generic 1608 Ceramic Capacitor"
"C11","Ceramic/1608","TopLayer","15.9250","9.5500","180","Generic 1608 Ceramic Capacitor"
"C10","Ceramic/1608","TopLayer","20.0250","8.7750","90","Generic 1608 Ceramic Capacitor"
"C9","Ceramic/1608","TopLayer","26.6000","9.5250","90","Generic 1608 Ceramic Capacitor"
"C19","Ceramic/1005","TopLayer","1.5549","17.3020","90","Generic 1005 Ceramic Capacitor"
"C21","Ceramic/1005","TopLayer","42.1000","15.4520","180","Generic 1005 Ceramic Capacitor"
"C20","Ceramic/1005","TopLayer","42.1000","14.5520","180","Generic 1005 Ceramic Capacitor"
"C18","Ceramic/1005","TopLayer","10.5000","7.7250","180","Generic 1005 Ceramic Capacitor"
"C8","Ceramic/1005","TopLayer","65.7250","4.3000","90","Generic 1005 Ceramic Capacitor"
"C7","Ceramic/1005","TopLayer","60.6261","9.1948","90","Generic 1005 Ceramic Capacitor"
"C6","Ceramic/1005","TopLayer","58.7750","14.6380","90","Generic 1005 Ceramic Capacitor"
"C5","Ceramic/1005","TopLayer","60.7000","12.3750","180","Generic 1005 Ceramic Capacitor"
"C12","Ceramic/1005","TopLayer","14.2000","10.1750","90","Generic 1005 Ceramic Capacitor"
"C4","Ceramic/1005","TopLayer","60.7000","13.2250","180","Generic 1005 Ceramic Capacitor"
"C3","Ceramic/1005","TopLayer","58.7750","17.0620","270","Generic 1005 Ceramic Capacitor"
"C2","Ceramic/1005","TopLayer","62.8250","8.0250","90","Generic 1005 Ceramic Capacitor"
"C1","Ceramic/1005","TopLayer","64.8250","4.2750","270","Generic 1005 Ceramic Capacitor"
"J3","BM04B-SRSS-TB(LF)(SN)","TopLayer","30.6375","14.5019","90","CONN HEADER SMD 4POS 1MM"
"J2","A1251WV-S-2P","TopLayer","21.2750","14.9519","180","1.25mm(.049in)Pitch , Header , Header , Phosphor Bronze , 80��in(2.03��m) , Tin(Sn) Plating , Single Row , 2 Circuit , LCP UL94V-0 , Beige , Cap Reel"
"P2","","TopLayer","40.0250","20.1950","180",""
"P1","","TopLayer","40.0250","0.8050","0",""
"L1","MLZ1608M100WT000","TopLayer","60.6687","7.2437","90","Inductor Power Shielded Multi-Layer 10uH 20% 2MHz Ferrite 0.09A 1.365Ohm DCR 0603 T/R"
